Zip Code,City,State,County
07078,Short Hills,NJ,Essex County
07079,South Orange,NJ,Essex County
07080,South Plainfield,NJ,Middlesex County
07081,Springfield,NJ,Union County
07082,Towaco,NJ,Morris County
07083,Union,NJ,Union County
07086,Weehawken,NJ,Hudson County
07087,Union City,NJ,Hudson County
07088,Vauxhall,NJ,Union County
07090,Westfield,NJ,Union County
07091,Westfield,NJ,Union County
07092,Mountainside,NJ,Union County
07093,West New York,NJ,Hudson County
07094,Secaucus,NJ,Hudson County
07095,Woodbridge,NJ,Middlesex County
07096,Secaucus,NJ,Hudson County
07097,Jersey City,NJ,Hudson County
07099,Kearny,NJ,Hudson County
07101,Newark,NJ,Essex County
07102,Newark,NJ,Essex County
07103,Newark,NJ,Essex County
07104,Newark,NJ,Essex County
07105,Newark,NJ,Essex County
07106,Newark,NJ,Essex County
07107,Newark,NJ,Essex County
07108,Newark,NJ,Essex County
07109,Belleville,NJ,Essex County
07110,Nutley,NJ,Essex County
07111,Irvington,NJ,Essex County
07112,Newark,NJ,Essex County
07114,Newark,NJ,Essex County
07132,Newark,NJ,Essex County
07175,Newark,NJ,Essex County
07182,Newark,NJ,Essex County
07184,Newark,NJ,Essex County
07188,Newark,NJ,Essex County
07189,Newark,NJ,Essex County
07191,Newark,NJ,Essex County
07192,Newark,NJ,Essex County
07193,Newark,NJ,Essex County
07194,Newark,NJ,Essex County
07195,Newark,NJ,Essex County
07198,Newark,NJ,Essex County
07199,Newark,NJ,Essex County
07201,Elizabeth,NJ,Union County
07202,Elizabeth,NJ,Union County
07203,Roselle,NJ,Union County
07204,Roselle Park,NJ,Union County
07205,Hillside,NJ,Union County
07206,Elizabethport,NJ,Union County
07207,Elizabeth,NJ,Union County
07208,Elizabeth,NJ,Union County
07302,Jersey City,NJ,Hudson County
07303,Jersey City,NJ,Hudson County
07304,Jersey City,NJ,Hudson County
07305,Jersey City,NJ,Hudson County
07306,Jersey City,NJ,Hudson County
07307,Jersey City,NJ,Hudson County
07308,Jersey City,NJ,Hudson County
07309,Jersey City,NJ,Hudson County
07310,Jersey City,NJ,Hudson County
07311,Jersey City,NJ,Hudson County
07395,Jersey City,NJ,Hudson County
07399,Jersey City,NJ,Hudson County
07401,Allendale,NJ,Bergen County
07403,Bloomingdale,NJ,Passaic County
07405,Butler,NJ,Morris County
07407,Elmwood Park,NJ,Bergen County
07410,Fair Lawn,NJ,Bergen County
07416,Franklin,NJ,Sussex County
07417,Franklin Lakes,NJ,Bergen County
07418,Glenwood,NJ,Sussex County
07419,Hamburg,NJ,Sussex County
07420,Haskell,NJ,Passaic County
07421,Hewitt,NJ,Passaic County
07422,Highland Lakes,NJ,Sussex County
07423,Ho Ho Kus,NJ,Bergen County
07424,Little Falls,NJ,Passaic County
07428,Mc Afee,NJ,Sussex County
07430,Mahwah,NJ,Bergen County
07432,Midland Park,NJ,Bergen County
07435,Newfoundland,NJ,Passaic County
07436,Oakland,NJ,Bergen County
07438,Oak Ridge,NJ,Morris County
07439,Ogdensburg,NJ,Sussex County
07440,Pequannock,NJ,Morris County
07442,Pompton Lakes,NJ,Passaic County
07444,Pompton Plains,NJ,Morris County
07446,Ramsey,NJ,Bergen County
07450,Ridgewood,NJ,Bergen County
07451,Ridgewood,NJ,Bergen County
07452,Glen Rock,NJ,Bergen County
07456,Ringwood,NJ,Passaic County
07457,Riverdale,NJ,Morris County
07458,Saddle River,NJ,Bergen County
07460,Stockholm,NJ,Sussex County
07461,Sussex,NJ,Sussex County
07462,Vernon,NJ,Sussex County
07463,Waldwick,NJ,Bergen County
07465,Wanaque,NJ,Passaic County
07470,Wayne,NJ,Passaic County
07474,Wayne,NJ,Passaic County
07477,Wayne,NJ,Passaic County
07480,West Milford,NJ,Passaic County
07481,Wyckoff,NJ,Bergen County
07495,Mahwah,NJ,Bergen County
07501,Paterson,NJ,Passaic County
07502,Paterson,NJ,Passaic County
07503,Paterson,NJ,Passaic County
07504,Paterson,NJ,Passaic County
07505,Paterson,NJ,Passaic County
07506,Hawthorne,NJ,Passaic County
07507,Hawthorne,NJ,Passaic County
07508,Haledon,NJ,Passaic County
07509,Paterson,NJ,Passaic County
07510,Paterson,NJ,Passaic County
07511,Totowa,NJ,Passaic County
07512,Totowa,NJ,Passaic County
07513,Paterson,NJ,Passaic County
07514,Paterson,NJ,Passaic County
07522,Paterson,NJ,Passaic County
07524,Paterson,NJ,Passaic County
07533,Paterson,NJ,Passaic County
07538,Haledon,NJ,Passaic County
07543,Paterson,NJ,Passaic County
07544,Paterson,NJ,Passaic County
07601,Hackensack,NJ,Bergen County
07602,Hackensack,NJ,Bergen County
07603,Bogota,NJ,Bergen County
07604,Hasbrouck Heights,NJ,Bergen County
07605,Leonia,NJ,Bergen County
07606,South Hackensack,NJ,Bergen County
07607,Maywood,NJ,Bergen County
07608,Teterboro,NJ,Bergen County
07620,Alpine,NJ,Bergen County
07621,Bergenfield,NJ,Bergen County
07624,Closter,NJ,Bergen County
07626,Cresskill,NJ,Bergen County
07627,Demarest,NJ,Bergen County
07628,Dumont,NJ,Bergen County
07630,Emerson,NJ,Bergen County
07631,Englewood,NJ,Bergen County
07632,Englewood Cliffs,NJ,Bergen County
07640,Harrington Park,NJ,Bergen County
07641,Haworth,NJ,Bergen County
07642,Hillsdale,NJ,Bergen County
07643,Little Ferry,NJ,Bergen County
07644,Lodi,NJ,Bergen County
07645,Montvale,NJ,Bergen County
07646,New Milford,NJ,Bergen County
07647,Northvale,NJ,Bergen County
07648,Norwood,NJ,Bergen County
07649,Oradell,NJ,Bergen County
07650,Palisades Park,NJ,Bergen County
07652,Paramus,NJ,Bergen County
07653,Paramus,NJ,Bergen County
07656,Park Ridge,NJ,Bergen County
07657,Ridgefield,NJ,Bergen County
07660,Ridgefield Park,NJ,Bergen County
07661,River Edge,NJ,Bergen County
07662,Rochelle Park,NJ,Bergen County
07663,Saddle Brook,NJ,Bergen County
07666,Teaneck,NJ,Bergen County
07670,Tenafly,NJ,Bergen County
07675,Westwood,NJ,Bergen County
07676,Township Of Washington,NJ,Bergen County
07677,Woodcliff Lake,NJ,Bergen County
07699,Teterboro,NJ,Bergen County
07701,Red Bank,NJ,Monmouth County
07702,Shrewsbury,NJ,Monmouth County
07703,Fort Monmouth,NJ,Monmouth County
07704,Fair Haven,NJ,Monmouth County
07709,Red Bank,NJ,Monmouth County
07710,Adelphia,NJ,Monmouth County
07711,Allenhurst,NJ,Monmouth County
07712,Asbury Park,NJ,Monmouth County
07715,Belmar,NJ,Monmouth County
07716,Atlantic Highlands,NJ,Monmouth County
07717,Avon By The Sea,NJ,Monmouth County
07718,Belford,NJ,Monmouth County
07719,Belmar,NJ,Monmouth County
07720,Bradley Beach,NJ,Monmouth County
07721,Cliffwood,NJ,Monmouth County
07722,Colts Neck,NJ,Monmouth County
07723,Deal,NJ,Monmouth County
07724,Eatontown,NJ,Monmouth County
07726,Englishtown,NJ,Monmouth County
07727,Farmingdale,NJ,Monmouth County
07728,Freehold,NJ,Monmouth County
07730,Hazlet,NJ,Monmouth County
07731,Howell,NJ,Monmouth County
07732,Highlands,NJ,Monmouth County
07733,Holmdel,NJ,Monmouth County
07734,Keansburg,NJ,Monmouth County
07735,Keyport,NJ,Monmouth County
07737,Leonardo,NJ,Monmouth County
07738,Lincroft,NJ,Monmouth County
07739,Little Silver,NJ,Monmouth County
07740,Long Branch,NJ,Monmouth County
07746,Marlboro,NJ,Monmouth County
07747,Matawan,NJ,Monmouth County
07748,Middletown,NJ,Monmouth County
07750,Monmouth Beach,NJ,Monmouth County
07751,Morganville,NJ,Monmouth County
07752,Navesink,NJ,Monmouth County
07753,Neptune,NJ,Monmouth County
07754,Neptune,NJ,Monmouth County
07755,Oakhurst,NJ,Monmouth County
07756,Ocean Grove,NJ,Monmouth County
07757,Oceanport,NJ,Monmouth County
07758,Port Monmouth,NJ,Monmouth County
07760,Rumson,NJ,Monmouth County
07762,Spring Lake,NJ,Monmouth County
07763,Tennent,NJ,Monmouth County
07764,West Long Branch,NJ,Monmouth County
07765,Wickatunk,NJ,Monmouth County
07799,Eatontown,NJ,Monmouth County
07801,Dover,NJ,Morris County
07802,Dover,NJ,Morris County
07803,Mine Hill,NJ,Morris County
07806,Picatinny Arsenal,NJ,Morris County
07820,Allamuchy,NJ,Warren County
07821,Andover,NJ,Sussex County
07822,Augusta,NJ,Sussex County
07823,Belvidere,NJ,Warren County
07825,Blairstown,NJ,Warren County
07826,Branchville,NJ,Sussex County
07827,Montague,NJ,Sussex County
07828,Budd Lake,NJ,Morris County
07829,Buttzville,NJ,Warren County
07830,Califon,NJ,Hunterdon County
07831,Changewater,NJ,Warren County
07832,Columbia,NJ,Warren County
07833,Delaware,NJ,Warren County
07834,Denville,NJ,Morris County
07836,Flanders,NJ,Morris County
07837,Glasser,NJ,Sussex County
07838,Great Meadows,NJ,Warren County
07839,Greendell,NJ,Sussex County
07840,Hackettstown,NJ,Warren County
07842,Hibernia,NJ,Morris County
07843,Hopatcong,NJ,Sussex County
07844,Hope,NJ,Warren County
07845,Ironia,NJ,Morris County
07846,Johnsonburg,NJ,Warren County
07847,Kenvil,NJ,Morris County
07848,Lafayette,NJ,Sussex County
07849,Lake Hopatcong,NJ,Morris County
07850,Landing,NJ,Morris County
07851,Layton,NJ,Sussex County
07852,Ledgewood,NJ,Morris County
07853,Long Valley,NJ,Morris County
07855,Middleville,NJ,Sussex County
07856,Mount Arlington,NJ,Morris County
07857,Netcong,NJ,Morris County
07860,Newton,NJ,Sussex County
07863,Oxford,NJ,Warren County
07865,Port Murray,NJ,Warren County
07866,Rockaway,NJ,Morris County
07869,Randolph,NJ,Morris County
07870,Schooleys Mountain,NJ,Morris County
07871,Sparta,NJ,Sussex County
07874,Stanhope,NJ,Sussex County
07875,Stillwater,NJ,Sussex County
07876,Succasunna,NJ,Morris County
07877,Swartswood,NJ,Sussex County
07878,Mount Tabor,NJ,Morris County
07879,Tranquility,NJ,Sussex County
07880,Vienna,NJ,Warren County
07881,Wallpack Center,NJ,Sussex County
07882,Washington,NJ,Warren County
07885,Wharton,NJ,Morris County
07890,Branchville,NJ,Sussex County
07901,Summit,NJ,Union County
07902,Summit,NJ,Union County
07920,Basking Ridge,NJ,Somerset County
07921,Bedminster,NJ,Somerset County
07922,Berkeley Heights,NJ,Union County
07924,Bernardsville,NJ,Somerset County
07926,Brookside,NJ,Morris County
07927,Cedar Knolls,NJ,Morris County
07928,Chatham,NJ,Morris County
07930,Chester,NJ,Morris County
07931,Far Hills,NJ,Somerset County
07932,Florham Park,NJ,Morris County
07933,Gillette,NJ,Morris County
07934,Gladstone,NJ,Somerset County
07935,Green Village,NJ,Morris County
07936,East Hanover,NJ,Morris County
07938,Liberty Corner,NJ,Somerset County
07939,Lyons,NJ,Somerset County
07940,Madison,NJ,Morris County
07945,Mendham,NJ,Morris County
07946,Millington,NJ,Morris County
07950,Morris Plains,NJ,Morris County
07960,Morristown,NJ,Morris County
07961,Convent Station,NJ,Morris County
07962,Morristown,NJ,Morris County
07963,Morristown,NJ,Morris County
07970,Mount Freedom,NJ,Morris County
07974,New Providence,NJ,Union County
07976,New Vernon,NJ,Morris County
07977,Peapack,NJ,Somerset County
07978,Pluckemin,NJ,Somerset County
07979,Pottersville,NJ,Hunterdon County
07980,Stirling,NJ,Morris County
07981,Whippany,NJ,Morris County
07983,Whippany,NJ,Morris County
07999,Whippany,NJ,Morris County
08001,Alloway,NJ,Salem County
08002,Cherry Hill,NJ,Camden County
08003,Cherry Hill,NJ,Camden County
08004,Atco,NJ,Camden County
08005,Barnegat,NJ,Ocean County
08006,Barnegat Light,NJ,Ocean County
08007,Barrington,NJ,Camden County
08008,Beach Haven,NJ,Ocean County
08009,Berlin,NJ,Camden County
08010,Beverly,NJ,Burlington County
08011,Birmingham,NJ,Burlington County
08012,Blackwood,NJ,Camden County
08014,Bridgeport,NJ,Gloucester County
08015,Browns Mills,NJ,Burlington County
08016,Burlington,NJ,Burlington County
08018,Cedar Brook,NJ,Camden County
08019,Chatsworth,NJ,Burlington County
08020,Clarksboro,NJ,Gloucester County
08021,Clementon,NJ,Camden County
08022,Columbus,NJ,Burlington County
08023,Deepwater,NJ,Salem County
08025,Ewan,NJ,Gloucester County
08026,Gibbsboro,NJ,Camden County
08027,Gibbstown,NJ,Gloucester County
08028,Glassboro,NJ,Gloucester County
08029,Glendora,NJ,Camden County
08030,Gloucester City,NJ,Camden County
08031,Bellmawr,NJ,Camden County
08032,Grenloch,NJ,Gloucester County
08033,Haddonfield,NJ,Camden County
08034,Cherry Hill,NJ,Camden County
08035,Haddon Heights,NJ,Camden County
08036,Hainesport,NJ,Burlington County
08037,Hammonton,NJ,Atlantic County
08038,Hancocks Bridge,NJ,Salem County
08039,Harrisonville,NJ,Gloucester County
08041,Jobstown,NJ,Burlington County
08042,Juliustown,NJ,Burlington County
08043,Voorhees,NJ,Camden County
08045,Lawnside,NJ,Camden County
08046,Willingboro,NJ,Burlington County
08048,Lumberton,NJ,Burlington County
08049,Magnolia,NJ,Camden County
08050,Manahawkin,NJ,Ocean County
08051,Mantua,NJ,Gloucester County
08052,Maple Shade,NJ,Burlington County
08053,Marlton,NJ,Burlington County
08054,Mount Laurel,NJ,Burlington County
08055,Medford,NJ,Burlington County
08056,Mickleton,NJ,Gloucester County
08057,Moorestown,NJ,Burlington County
08059,Mount Ephraim,NJ,Camden County
08060,Mount Holly,NJ,Burlington County
08061,Mount Royal,NJ,Gloucester County
08062,Mullica Hill,NJ,Gloucester County
08063,National Park,NJ,Gloucester County
08064,New Lisbon,NJ,Burlington County
08065,Palmyra,NJ,Burlington County
08066,Paulsboro,NJ,Gloucester County
08067,Pedricktown,NJ,Salem County
08068,Pemberton,NJ,Burlington County
08069,Penns Grove,NJ,Salem County
08070,Pennsville,NJ,Salem County
08071,Pitman,NJ,Gloucester County
08072,Quinton,NJ,Salem County
08073,Rancocas,NJ,Burlington County
08074,Richwood,NJ,Gloucester County
08075,Riverside,NJ,Burlington County
08076,Riverton,NJ,Burlington County
08077,Riverton,NJ,Burlington County
08078,Runnemede,NJ,Camden County
08079,Salem,NJ,Salem County
08080,Sewell,NJ,Gloucester County
08081,Sicklerville,NJ,Camden County
08083,Somerdale,NJ,Camden County
08084,Stratford,NJ,Camden County
08085,Swedesboro,NJ,Gloucester County
08086,Thorofare,NJ,Gloucester County
08087,Tuckerton,NJ,Ocean County
08088,Vincentown,NJ,Burlington County
08089,Waterford Works,NJ,Camden County
08090,Wenonah,NJ,Gloucester County
08091,West Berlin,NJ,Camden County
08092,West Creek,NJ,Ocean County
08093,Westville,NJ,Gloucester County
08094,Williamstown,NJ,Gloucester County
08095,Winslow,NJ,Camden County
08096,Woodbury,NJ,Gloucester County
08097,Woodbury Heights,NJ,Gloucester County
08098,Woodstown,NJ,Salem County
08099,Bellmawr,NJ,Camden County
08101,Camden,NJ,Camden County
08102,Camden,NJ,Camden County
08103,Camden,NJ,Camden County
08104,Camden,NJ,Camden County
08105,Camden,NJ,Camden County
08106,Audubon,NJ,Camden County
08107,Oaklyn,NJ,Camden County
08108,Collingswood,NJ,Camden County
08109,Merchantville,NJ,Camden County
08110,Pennsauken,NJ,Camden County
08201,Absecon,NJ,Atlantic County
08202,Avalon,NJ,Cape May County
08203,Brigantine,NJ,Atlantic County
08204,Cape May,NJ,Cape May County
08205,Absecon,NJ,Atlantic County
08210,Cape May Court House,NJ,Cape May County
08212,Cape May Point,NJ,Cape May County
08213,Cologne,NJ,Atlantic County
08214,Dennisville,NJ,Cape May County
08215,Egg Harbor City,NJ,Atlantic County
08217,Elwood,NJ,Atlantic County
08218,Goshen,NJ,Cape May County
08219,Green Creek,NJ,Cape May County
08220,Leeds Point,NJ,Atlantic County
08221,Linwood,NJ,Atlantic County
08223,Marmora,NJ,Cape May County
08224,New Gretna,NJ,Burlington County
08225,Northfield,NJ,Atlantic County
08226,Ocean City,NJ,Cape May County
08230,Ocean View,NJ,Cape May County
08231,Oceanville,NJ,Atlantic County
08232,Pleasantville,NJ,Atlantic County
08234,Egg Harbor Township,NJ,Atlantic County
08240,Pomona,NJ,Atlantic County
08241,Port Republic,NJ,Atlantic County
08242,Rio Grande,NJ,Cape May County
08243,Sea Isle City,NJ,Cape May County
08244,Somers Point,NJ,Atlantic County
08245,South Dennis,NJ,Cape May County
08246,South Seaville,NJ,Cape May County
08247,Stone Harbor,NJ,Cape May County
08248,Strathmere,NJ,Cape May County
08250,Tuckahoe,NJ,Cape May County
08251,Villas,NJ,Cape May County
08252,Whitesboro,NJ,Cape May County
08260,Wildwood,NJ,Cape May County
08270,Woodbine,NJ,Cape May County
08302,Bridgeton,NJ,Cumberland County
08310,Buena,NJ,Atlantic County
08311,Cedarville,NJ,Cumberland County
08312,Clayton,NJ,Gloucester County
08313,Deerfield Street,NJ,Cumberland County
08314,Delmont,NJ,Cumberland County
08315,Dividing Creek,NJ,Cumberland County
08316,Dorchester,NJ,Cumberland County
08317,Dorothy,NJ,Atlantic County
08318,Elmer,NJ,Salem County
08319,Estell Manor,NJ,Atlantic County
08320,Fairton,NJ,Cumberland County
08321,Fortescue,NJ,Cumberland County
08322,Franklinville,NJ,Gloucester County
08323,Greenwich,NJ,Cumberland County
08324,Heislerville,NJ,Cumberland County
08326,Landisville,NJ,Atlantic County
08327,Leesburg,NJ,Cumberland County
08328,Malaga,NJ,Gloucester County
08329,Mauricetown,NJ,Cumberland County
08330,Mays Landing,NJ,Atlantic County
08332,Millville,NJ,Cumberland County
08340,Milmay,NJ,Atlantic County
08341,Minotola,NJ,Atlantic County
08342,Mizpah,NJ,Atlantic County
08343,Monroeville,NJ,Gloucester County
08344,Newfield,NJ,Gloucester County
08345,Newport,NJ,Cumberland County
08346,Newtonville,NJ,Atlantic County
08347,Norma,NJ,Salem County
08348,Port Elizabeth,NJ,Cumberland County
08349,Port Norris,NJ,Cumberland County
08350,Richland,NJ,Atlantic County
08352,Rosenhayn,NJ,Cumberland County
08353,Shiloh,NJ,Cumberland County
08360,Vineland,NJ,Cumberland County
08361,Vineland,NJ,Cumberland County
08362,Vineland,NJ,Cumberland County
08401,Atlantic City,NJ,Atlantic County
08402,Margate City,NJ,Atlantic County
08403,Longport,NJ,Atlantic County
08404,Atlantic City,NJ,Atlantic County
08405,Atlantic City,NJ,Atlantic County
08406,Ventnor City,NJ,Atlantic County
08501,Allentown,NJ,Monmouth County
08502,Belle Mead,NJ,Somerset County
08504,Blawenburg,NJ,Somerset County
08505,Bordentown,NJ,Burlington County
08510,Millstone Township,NJ,Monmouth County
08511,Cookstown,NJ,Burlington County
08512,Cranbury,NJ,Mercer County
08514,Cream Ridge,NJ,Monmouth County
08515,Chesterfield,NJ,Burlington County
08518,Florence,NJ,Burlington County
08520,Hightstown,NJ,Mercer County
08525,Hopewell,NJ,Mercer County
08526,Imlaystown,NJ,Monmouth County
08527,Jackson,NJ,Ocean County
08528,Kingston,NJ,Somerset County
08530,Lambertville,NJ,Hunterdon County
08533,New Egypt,NJ,Ocean County
08534,Pennington,NJ,Mercer County
08535,Millstone Township,NJ,Monmouth County
08536,Plainsboro,NJ,Middlesex County
08540,Princeton,NJ,Mercer County
08541,Princeton,NJ,Mercer County
08542,Princeton,NJ,Mercer County
08543,Princeton,NJ,Mercer County
08544,Princeton,NJ,Mercer County
08550,Princeton Junction,NJ,Mercer County
08551,Ringoes,NJ,Hunterdon County
08553,Rocky Hill,NJ,Somerset County
08554,Roebling,NJ,Burlington County
08555,Roosevelt,NJ,Monmouth County
08556,Rosemont,NJ,Hunterdon County
08557,Sergeantsville,NJ,Hunterdon County
08558,Skillman,NJ,Somerset County
08559,Stockton,NJ,Hunterdon County
08560,Titusville,NJ,Mercer County
08561,Windsor,NJ,Mercer County
08562,Wrightstown,NJ,Burlington County
08601,Trenton,NJ,Mercer County
08602,Trenton,NJ,Mercer County
08603,Trenton,NJ,Mercer County
08604,Trenton,NJ,Mercer County
08605,Trenton,NJ,Mercer County
08606,Trenton,NJ,Mercer County
08607,Trenton,NJ,Mercer County
08608,Trenton,NJ,Mercer County
08609,Trenton,NJ,Mercer County
08610,Trenton,NJ,Mercer County
08611,Trenton,NJ,Mercer County
08618,Trenton,NJ,Mercer County
08619,Trenton,NJ,Mercer County
08620,Trenton,NJ,Mercer County
08625,Trenton,NJ,Mercer County
08628,Trenton,NJ,Mercer County
08629,Trenton,NJ,Mercer County
08638,Trenton,NJ,Mercer County
08640,Joint Base Mdl,NJ,Burlington County
08641,Joint Base Mdl,NJ,Burlington County
08644,Trenton,NJ,
08645,Trenton,NJ,Mercer County
08646,Trenton,NJ,Mercer County
08647,Trenton,NJ,Mercer County
08648,Lawrence Township,NJ,Mercer County
08650,Trenton,NJ,Mercer County
08666,Trenton,NJ,Mercer County
08690,Trenton,NJ,Mercer County
08691,Robbinsville,NJ,Mercer County
08695,Trenton,NJ,Mercer County
08701,Lakewood,NJ,Ocean County
08720,Allenwood,NJ,Monmouth County
08721,Bayville,NJ,Ocean County
08722,Beachwood,NJ,Ocean County
08723,Brick,NJ,Ocean County
08724,Brick,NJ,Ocean County
08730,Brielle,NJ,Monmouth County
08731,Forked River,NJ,Ocean County
08732,Island Heights,NJ,Ocean County
08733,Lakehurst,NJ,Ocean County
08734,Lanoka Harbor,NJ,Ocean County
08735,Lavallette,NJ,Ocean County
08736,Manasquan,NJ,Monmouth County
08738,Mantoloking,NJ,Ocean County
08739,Normandy Beach,NJ,Ocean County
08740,Ocean Gate,NJ,Ocean County
08741,Pine Beach,NJ,Ocean County
08742,Point Pleasant Beach,NJ,Ocean County
08750,Sea Girt,NJ,Monmouth County
08751,Seaside Heights,NJ,Ocean County
08752,Seaside Park,NJ,Ocean County
08753,Toms River,NJ,Ocean County
08754,Toms River,NJ,Ocean County
08755,Toms River,NJ,Ocean County
08756,Toms River,NJ,Ocean County
08757,Toms River,NJ,Ocean County
08758,Waretown,NJ,Ocean County
08759,Manchester Township,NJ,Ocean County
08801,Annandale,NJ,Hunterdon County
08802,Asbury,NJ,Hunterdon County
08803,Baptistown,NJ,Hunterdon County
08804,Bloomsbury,NJ,Hunterdon County
08805,Bound Brook,NJ,Somerset County
08807,Bridgewater,NJ,Somerset County
08808,Broadway,NJ,Warren County
08809,Clinton,NJ,Hunterdon County
08810,Dayton,NJ,Middlesex County
08812,Dunellen,NJ,Middlesex County
08816,East Brunswick,NJ,Middlesex County
08817,Edison,NJ,Middlesex County
08818,Edison,NJ,Middlesex County
08820,Edison,NJ,Middlesex County
08821,Flagtown,NJ,Somerset County
08822,Flemington,NJ,Hunterdon County
08823,Franklin Park,NJ,Somerset County
08824,Kendall Park,NJ,Middlesex County
08825,Frenchtown,NJ,Hunterdon County
08826,Glen Gardner,NJ,Hunterdon County
08827,Hampton,NJ,Hunterdon County
08828,Helmetta,NJ,Middlesex County
08829,High Bridge,NJ,Hunterdon County
08830,Iselin,NJ,Middlesex County
08831,Monroe Township,NJ,Middlesex County
08832,Keasbey,NJ,Middlesex County
08833,Lebanon,NJ,Hunterdon County
08834,Little York,NJ,Hunterdon County
08835,Manville,NJ,Somerset County
08836,Martinsville,NJ,Somerset County
08837,Edison,NJ,Middlesex County
08840,Metuchen,NJ,Middlesex County
08844,Hillsborough,NJ,Somerset County
08846,Middlesex,NJ,Middlesex County
08848,Milford,NJ,Hunterdon County
08850,Milltown,NJ,Middlesex County
08852,Monmouth Junction,NJ,Middlesex County
08853,Neshanic Station,NJ,Somerset County
08854,Piscataway,NJ,Middlesex County
08855,Piscataway,NJ,Middlesex County
08857,Old Bridge,NJ,Middlesex County
08858,Oldwick,NJ,Hunterdon County
08859,Parlin,NJ,Middlesex County
08861,Perth Amboy,NJ,Middlesex County
08862,Perth Amboy,NJ,Middlesex County
08863,Fords,NJ,Middlesex County
08865,Phillipsburg,NJ,Warren County
08867,Pittstown,NJ,Hunterdon County
08868,Quakertown,NJ,Hunterdon County
08869,Raritan,NJ,Somerset County
08870,Readington,NJ,Hunterdon County
08871,Sayreville,NJ,Middlesex County
08872,Sayreville,NJ,Middlesex County
08873,Somerset,NJ,Somerset County
08875,Somerset,NJ,Somerset County
08876,Somerville,NJ,Somerset County
08879,South Amboy,NJ,Middlesex County
08880,South Bound Brook,NJ,Somerset County
08882,South River,NJ,Middlesex County
08884,Spotswood,NJ,Middlesex County
08885,Stanton,NJ,Hunterdon County
08886,Stewartsville,NJ,Warren County
08887,Three Bridges,NJ,Hunterdon County
08888,Whitehouse,NJ,Hunterdon County
08889,Whitehouse Station,NJ,Hunterdon County
08890,Zarephath,NJ,Somerset County
08899,Edison,NJ,Middlesex County
08901,New Brunswick,NJ,Middlesex County
08902,North Brunswick,NJ,Middlesex County
08903,New Brunswick,NJ,Middlesex County
08904,Highland Park,NJ,Middlesex County
08905,New Brunswick,NJ,Middlesex County
08906,New Brunswick,NJ,Middlesex County
08922,New Brunswick,NJ,Middlesex County
08933,New Brunswick,NJ,Middlesex County
08988,New Brunswick,NJ,Middlesex County
08989,New Brunswick,NJ,Middlesex County
00501,Holtsville,NY,Suffolk County
00544,Holtsville,NY,Suffolk County
06390,Fishers Island,NY,Suffolk County
10001,New York,NY,New York County
10002,New York,NY,New York County
10003,New York,NY,New York County
